steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
50467	76	1551.3602006435394	764.4272858368223	743.8896062099848	520.1220935275454	1741.7963054725037	-8.500778488321368	45.3569	45.3014	1.2883949321508408	1.2093620413541795	-47.68274024963379	23984	47968
100967	141	3191.187429666519	2216.114738478106	2428.3295874864116	537.0345316419131	2548.9348483765098	-14.822059607323416	73.90391	73.836235	3.9398151731491087	3.6490002417564393	-76.93113609313964	49234	98468
150822	197	4857.928550243378	2421.771370411734	2802.0077968649057	786.703396370518	2967.4923069525094	-675.6488978085324	109.85063	109.73895	6.828881158828735	6.535143659114838	-110.84320861816406	74161	148323
200339	256	6596.59189081192	2873.637301128785	3022.6522376728453	507.5007984563697	3158.627719118196	761.8322202328284	130.67746	130.68904	9.060377798080445	8.504064345359803	-130.70232933044434	98920	197840
250904	310	8279.613708734512	2926.8476554495933	2975.336580622191	278.6252279959201	3096.5468628895196	826.7304649214135	147.94772	147.92287	8.955092754364014	10.030302348136901	-150.3358004760742	124202	248405
300510	361	9994.671062707901	3246.7066577115224	3322.793870190919	382.0130528539385	3422.7715300700906	374.4425144725906	168.94609	169.1484	7.869053778648376	7.9271081447601315	-169.8768490600586	149005	298011
350446	417	11679.375381231308	2975.32226575257	3307.063588511842	881.7151281608853	3462.135745246286	4.861673208829092	177.37054	177.25806	8.719528713226318	8.933580570220947	-181.01727294921875	173973	347947
400117	469	13333.447805643082	3061.9423606668424	3407.5331239769857	841.4232228668275	3571.5109415881307	348.9202609299462	189.48933	189.32042	8.911646256446838	8.68555004119873	-191.63530212402344	198809	397618
450179	520	15035.17921924591	3241.5102001953283	3443.7627107757116	692.6262881780444	3563.645080021278	220.68726737004613	201.59967	201.67009	13.334131526947022	11.46208465576172	-202.6941360473633	223840	447680
500186	572	16761.463836669922	3226.3369184856533	3574.483109302898	836.1094634072504	3717.837090508544	-166.23307976615754	208.77919	208.65146	13.321000227928161	11.759132380485534	-211.7640153503418	248843	497687
550813	624	18511.38511490822	3414.095907753828	3695.9162326692153	835.0861931474454	3857.7823243704665	321.68135561916074	218.6971	218.68854	10.312833518981934	10.00530749797821	-221.48362518310546	274157	548314
600016	679	20197.082124233246	3368.3644620928776	3776.341861699051	964.5395881871532	3887.8103926624963	5.353899922466227	225.87868	225.91093	12.364268312454223	12.187151174545289	-227.99125732421874	298758	597517
650428	733	21884.018582820892	3667.438501878723	3714.038429230566	257.34546539922417	3863.079152787683	1694.7322622874603	226.98816	227.13092	15.703555603027343	12.557961082458496	-232.74803802490234	323964	647929
700248	788	23689.537556171417	3653.7628161074504	3841.8200510117517	704.8675248148045	3925.981238699575	202.7831818479155	235.39853	235.41104	14.491583657264709	12.323665609359741	-239.77710922241212	348874	697749
